
Hidden Size: 32, Batch Size: 1
Epoch 1: Train Loss = 1.0718, Val Loss = 0.5545, Test Acc = 0.8640
Epoch 2: Train Loss = 0.4634, Val Loss = 0.4005, Test Acc = 0.8928
Epoch 3: Train Loss = 0.3676, Val Loss = 0.3502, Test Acc = 0.8944
Epoch 4: Train Loss = 0.3214, Val Loss = 0.3252, Test Acc = 0.9016
Epoch 5: Train Loss = 0.2930, Val Loss = 0.3085, Test Acc = 0.9104
Epoch 6: Train Loss = 0.2698, Val Loss = 0.2919, Test Acc = 0.9132
Epoch 7: Train Loss = 0.2506, Val Loss = 0.2809, Test Acc = 0.9176
Epoch 8: Train Loss = 0.2341, Val Loss = 0.2744, Test Acc = 0.9256
Epoch 9: Train Loss = 0.2192, Val Loss = 0.2625, Test Acc = 0.9244
Epoch 10: Train Loss = 0.2064, Val Loss = 0.2535, Test Acc = 0.9236

Hidden Size: 128, Batch Size: 10000
Epoch 1: Train Loss = 2.3069, Val Loss = 2.2867, Test Acc = 0.1612
Epoch 2: Train Loss = 2.2918, Val Loss = 2.2721, Test Acc = 0.1832
Epoch 3: Train Loss = 2.2769, Val Loss = 2.2577, Test Acc = 0.2072
Epoch 4: Train Loss = 2.2622, Val Loss = 2.2435, Test Acc = 0.2296
Epoch 5: Train Loss = 2.2477, Val Loss = 2.2293, Test Acc = 0.2460
Epoch 6: Train Loss = 2.2334, Val Loss = 2.2153, Test Acc = 0.2608
Epoch 7: Train Loss = 2.2191, Val Loss = 2.2013, Test Acc = 0.2744
Epoch 8: Train Loss = 2.2049, Val Loss = 2.1874, Test Acc = 0.2892
Epoch 9: Train Loss = 2.1908, Val Loss = 2.1734, Test Acc = 0.3044
Epoch 10: Train Loss = 2.1767, Val Loss = 2.1595, Test Acc = 0.3192
